name,replicate,path_fwdReads,path_revReads,antibody,input
siCtrl_Input,Input-MTA2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_01_siCtrl_Input_FC1_S1_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_01_siCtrl_Input_FC1_S1_R2_001.fastq.gz,Input,
siLINC00941_Input,Input-MTA2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_05_siLINC00941_Input_FC1_S5_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_05_siLINC00941_Input_FC1_S5_R2_001.fastq.gz,Input,
siCtrl_Input-MTA2,Input-MTA2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_09_siCtrl_Input_MTA2_FC1_S9_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_09_siCtrl_Input_MTA2_FC1_S9_R2_001.fastq.gz,Input,
siCtrl_MTA2-1,MTA2-1,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_10_siCtrl_MTA2-1_FC1_S10_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_10_siCtrl_MTA2-1_FC1_S10_R2_001.fastq.gz,MTA2,Input-MTA2
siCtrl_MTA2-2,MTA2-2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_11_siCtrl_MTA2-2_FC1_S11_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_11_siCtrl_MTA2-2_FC1_S11_R2_001.fastq.gz,MTA2,Input-MTA2
siCtrl_MTA2-3,MTA2-3,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_12_siCtrl_MTA2-3_FC1_S12_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_12_siCtrl_MTA2-3_FC1_S12_R2_001.fastq.gz,MTA2,Input-MTA2
siLINC00941_Input-MTA2,Input-MTA2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_13_siLINC00941_Input_MTA2_FC1_S13_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_13_siLINC00941_Input_MTA2_FC1_S13_R2_001.fastq.gz,Input,
siLINC00941_MTA2-1,MTA2-1,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_14_siLINC00941_MTA2-1_FC1_S14_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_14_siLINC00941_MTA2-1_FC1_S14_R2_001.fastq.gz,MTA2,Input-MTA2
siLINC00941_MTA2-2,MTA2-2,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_15_siLINC00941_MTA2-2_FC1_S15_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_15_siLINC00941_MTA2-2_FC1_S15_R2_001.fastq.gz,MTA2,Input-MTA2
siLINC00941_MTA2-3,MTA2-3,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_16_siLINC00941_MTA2-3_FC1_S16_R1_001.fastq.gz,/Volumes/PromisePegasus/_Service_/S026_siChIP_E2F6_MTA2/data/FC1_221116/S504_16_siLINC00941_MTA2-3_FC1_S16_R2_001.fastq.gz,MTA2,Input-MTA2
